Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,DubPrt,Neg,minongwaanziiwegibanen,<<minongwaan>>ziiwegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,DubPrt,Neg,nagamosiiwegibanen,<<nagamo>>siiwegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,DubPrt,Neg,nibaasiiwegibanen,<<nibaa>>siiwegibanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,DubPrt,Neg,niimisiiwegibanen,<<niimi>>siiwegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,DubPrt,Neg,wanishinziiwegibanen,<<wanishin>>ziiwegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,DubPrt,Neg,webinigesiiwegibanen,<<webinige>>siiwegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,DubPrt,Neg,zaaga'amowegibanen,<<zaaga'>>amowegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,DubPrt,Pos,maajiibatoowegibanen,<<maajiibatoo>>wegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,DubPrt,Pos,madaabiiwegibanen,<<madaabii>>wegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,DubPrt,Pos,minongwaamowegibanen,<<minongwaam>>owegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,DubPrt,Pos,nagamowegibanen,<<nagamo>>wegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,DubPrt,Pos,nibaawegibanen,<<nibaa>>wegibanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,DubPrt,Pos,niimiwegibanen,<<niimi>>wegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,DubPrt,Pos,wanishinowegibanen,<<wanishin>>owegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,DubPrt,Pos,webinigewegibanen,<<webinige>>wegibanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,DubPrt,Pos,zaaga'amowegibanen,<<zaaga'>>amowegibanen,JDN-2010-MS-VAI-p35,,,
