Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,
VAI,Pcp,VAI_V,niimi,niimi,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,naamisinijin,<<niimi>>sinijin,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,wenishinzinijin,<<wanishin>>zinijin,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,wayebigesinijin,<<webinige>>sinijin,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlObvHead,3PlObvSubj,NONE,Neu,Neg,zayaaga'anzinijin,<<zaaga'>>anzinijin,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,mayaajiibatoonijin,<<maajiibatoo>>nijin,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,medaabiinijin,<<madaabii>>nijin,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,menongwaaminijin,<<minongwaam>>inijin,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,negamonijin,<<nagamo>>nijin,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,nebaanijin,<<nibaa>>nijin,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,naaminijin,<<niimi>>nijin,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,wenishininijin,<<wanishin>>inijin,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlObvHead,3PlObvSubj,NONE,Neu,Pos,wayebinigenijin,<<webinige>>nijin,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlObvHead,3PlObvSubj,NONE,Neu,Pos,zayaaga'aminijin,<<zaaga'>>aminijin,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,mayaajiibatoosigog,<<maajiibatoo>>sigog,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,medaabiisigog,<<madaabii>>sigog,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,menongwaamzigog,<<minongwaam>>zigog,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,negamosigog,<<nagamo>>sigog,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,nebaasigog,<<nibaa>>sigog,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,naamisigog,<<niimi>>sigog,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,wenishinzigog,<<wanishin>>zigog,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlProxHead,3PlProxSubj,NONE,Neu,Neg,wayebinigesigog,<<webinige>>sigog,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlProxHead,3PlProxSubj,NONE,Neu,Neg,zayaaga'anzigog,<<zaaga'>>anzigog,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,mayaajiibatoojig,<<maajiibatoo>>jig,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,medaabiijig,<<madaabii>>jig,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,menongwaangig,<<minongwaan>>gig,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,negamojig,<<nagamo>>jig,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,nebaajig,<<nibaa>>jig,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,naamijig,<<niimi>>jig,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,wenishingig,<<wanishin>>gig,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlProxHead,3PlProxSubj,NONE,Neu,Pos,wayebinigejig,<<webinige>>jig,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlProxHead,3PlProxSubj,NONE,Neu,Pos,zayaaga'ang,<<zaaga'>>ang,GUESS,,,,
