Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,1SgSubj,NONE,Prt,Neg,waabandizosiwaambaan,<<waabandizo>>siwaambaan,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,1SgSubj,NONE,Prt,Pos,waabandizoyaambaan,<<waabandizo>>yaambaan,JDN-2010-MS-VAI-p27,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,2PlSubj,NONE,Prt,Neg,waabandizosiwegiban,<<waabandizo>>siwegiban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,2PlSubj,NONE,Prt,Pos,waabandizoyegiban,<<waabandizo>>yegiban,JDN-2010-MS-VAI-p27,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,Prt,Neg,waabandizosiwamban,<<waabandizo>>siwamban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,Prt,Pos,waabandizoyamban,<<waabandizo>>yamban,JDN-2010-MS-VAI-p27,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,Prt,Neg,waabandizosinigoban,<<waabandizo>>sinigoban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,Prt,Pos,waabandizonipan,<<waabandizo>>nipan,JDN-2010-MS-VAI-p27,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,Prt,Neg,waabandizosigwaaban,<<waabandizo>>sigwaaban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,Prt,Pos,waabandizowaapan,<<waabandizo>>waapan,JDN-2010-MS-VAI-p27,,,,,,
