Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_V,niimi,niimi,NONE,2SgSubj,NONE,Dub,Pos,niimiwanen,<<niimi>>wanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,2SgSubj,NONE,Dub,Pos,maajiibatoowanen,<<maajiibatoo>>wanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,2SgSubj,NONE,Dub,Pos,madaabiiwanen,<<madaabii>>wanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,2SgSubj,NONE,Dub,Pos,nibaawanen,<<nibaa>>wanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,2SgSubj,NONE,Dub,Pos,webinigewanen,<<webinige>>wanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,3PlObvSubj,NONE,Dub,Pos,zaaga'aminigwen,<<zaaga'>>aminigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,3PlObvSubj,NONE,Dub,Pos,minongwaaminigwen,<<minongwaam>>inigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,3PlObvSubj,NONE,Dub,Pos,wanishininigwen,<<wanishin>>inigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,3PlObvSubj,NONE,Dub,Pos,nagamonigwen,<<nagamo>>nigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,3PlObvSubj,NONE,Dub,Pos,niiminigwen,<<niimi>>nigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,3PlObvSubj,NONE,Dub,Pos,maajiibatoonigwen,<<maajiibatoo>>nigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,3PlObvSubj,NONE,Dub,Pos,madaabiinigwen,<<madaabii>>nigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,3PlObvSubj,NONE,Dub,Pos,nibaanigwen,<<nibaa>>nigwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,3PlObvSubj,NONE,Dub,Pos,webinigenigwen,<<webinige>>nigwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,3PlProxSubj,NONE,Dub,Pos,zaaga'amowaagwen,<<zaaga'>>amowaagwen,JDN-2010-MS-VAI-p31,,,
