Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gishkanzhiinsiwaa',g<<shkanzhy2>>iinsiwaa',JDN-2010-Nouns,gishkanzhiinsiwaan,g<<shkanzhy2>>iinsiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gishkanzhiinsimiwaa',g<<shkanzhy2>>iinsimiwaa',JDN-2010-Nouns,gishkanzhiinsimiwaan,g<<shkanzhy2>>iinsimiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,gishkanzhiishiwaa',g<<shkanzhy2>>iishiwaa',JDN-2010-Nouns,gishkanzhiishiwaan,g<<shkanzhy2>>iishiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,Pej,NONE,ObvPl,gishkanzhiimishiwaa',g<<shkanzhy2>>iimishiwaa',JDN-2010-Nouns,gishkanzhiimishiwaan,g<<shkanzhy2>>iimishiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,Pej,NONE,ObvPl,gishkanzhiinzhishiwaa',g<<shkanzhy2>>iinzhishiwaa',JDN-2010-Nouns,gishkanzhiinzhishiwaan,g<<shkanzhy2>>iinzhishiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,Pej,NONE,ObvPl,gishkanzhiinsimishiwaa',g<<shkanzhy2>>iinsimishiwaa',JDN-2010-Nouns,gishkanzhiinsimishiwaan,g<<shkanzhy2>>iinsimishiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,NONE,ObvSg,gishkanzhiiwaan,g<<shkanzhy2>>iiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,NONE,ObvSg,gishkanzhiimiwaan,g<<shkanzhy2>>iimiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,NONE,ObvSg,gishkanzhiinsiwaan,g<<shkanzhy2>>iinsiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,NONE,NONE,ObvSg,gishkanzhiinsimiwaan,g<<shkanzhy2>>iinsimiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,Pej,NONE,ObvSg,gishkanzhiishiwaan,g<<shkanzhy2>>iishiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,Pej,NONE,ObvSg,gishkanzhiimishiwaan,g<<shkanzhy2>>iimishiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,Pej,NONE,ObvSg,gishkanzhiinzhishiwaan,g<<shkanzhy2>>iinzhishiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,Pej,NONE,ObvSg,gishkanzhiinsimishiwaan,g<<shkanzhy2>>iinsimishiwaan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,NONE,ProxPl,gishkanzhiiwaag,g<<shkanzhy2>>iiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,NONE,ProxPl,gishkanzhiimiwaag,g<<shkanzhy2>>iimiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,NONE,ProxPl,gishkanzhiinsiwaag,g<<shkanzhy2>>iinsiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,NONE,NONE,ProxPl,gishkanzhiinsimiwaag,g<<shkanzhy2>>iinsimiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,Pej,NONE,ProxPl,gishkanzhiishiwaag,g<<shkanzhy2>>iishiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,Pej,NONE,ProxPl,gishkanzhiimishiwaag,g<<shkanzhy2>>iimishiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,Pej,NONE,ProxPl,gishkanzhiinzhishiwaag,g<<shkanzhy2>>iinzhishiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,Pej,NONE,ProxPl,gishkanzhiinsimishiwaag,g<<shkanzhy2>>iinsimishiwaag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,NONE,ProxSg,gishkanzhiiwaa,g<<shkanzhy2>>iiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,NONE,ProxSg,gishkanzhiimiwaa,g<<shkanzhy2>>iimiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,NONE,ProxSg,gishkanzhiinsiwaa,g<<shkanzhy2>>iinsiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,NONE,NONE,ProxSg,gishkanzhiinsimiwaa,g<<shkanzhy2>>iinsimiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,Pej,NONE,ProxSg,gishkanzhiishiwaa,g<<shkanzhy2>>iishiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,Pej,NONE,ProxSg,gishkanzhiimishiwaa,g<<shkanzhy2>>iimishiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,Pej,NONE,ProxSg,gishkanzhiinzhishiwaa,g<<shkanzhy2>>iinzhishiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,Pej,NONE,ProxSg,gishkanzhiinsimishiwaa,g<<shkanzhy2>>iinsimishiwaa,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,NONE,LocDist,gishkanzhiiwaakaang,g<<shkanzhy2>>iiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,NONE,LocDist,gishkanzhiimiwaakaang,g<<shkanzhy2>>iimiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,NONE,LocDist,gishkanzhiinsiwaakaang,g<<shkanzhy2>>iinsiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,NONE,NONE,LocDist,gishkanzhiinsimiwaakaang,g<<shkanzhy2>>iinsimiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,Pej,NONE,LocDist,gishkanzhiishiwaakaang,g<<shkanzhy2>>iishiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,Pej,NONE,LocDist,gishkanzhiimishiwaakaang,g<<shkanzhy2>>iimishiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,Pej,NONE,LocDist,gishkanzhiinzhishiwaakaang,g<<shkanzhy2>>iinzhishiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,Pej,NONE,LocDist,gishkanzhiinsimishiwaakaang,g<<shkanzhy2>>iinsimishiwaakaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,Pret,ObvPl,gishkanzhiiwaabanii',g<<shkanzhy2>>iiwaabanii',JDN-2010-Nouns,gishkanzhiiwaabaniin,g<<shkanzhy2>>iiwaabaniin,JDN-2010-Nouns,gishkanzhiiwaabanen,g<<shkanzhy2>>iiwaabanen,GUESS
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,Pret,ObvPl,gishkanzhiimiwaabanii',g<<shkanzhy2>>iimiwaabanii',JDN-2010-Nouns,gishkanzhiimiwaabaniin,g<<shkanzhy2>>iimiwaabaniin,JDN-2010-Nouns,gishkanzhiimiwaabanen,g<<shkanzhy2>>iimiwaabanen,GUESS
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,Pret,ObvPl,gishkanzhiinsiwaabanii',g<<shkanzhy2>>iinsiwaabanii',JDN-2010-Nouns,gishkanzhiinsiwaabaniin,g<<shkanzhy2>>iinsiwaabaniin,JDN-2010-Nouns,gishkanzhiinsiwaabanen,g<<shkanzhy2>>iinsiwaabanen,GUESS
