,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
164,NA,NA_Cy,asin,asiny2,InclPoss,Dim,Poss,NONE,NONE,ObvPl,gidasiniinsiminaani',gi<<asiny2>>iinsiminaani',JDN-2010-Nouns,gidasiniinsiminaanin,gi<<asiny2>>iinsiminaanin,JDN-2010-Nouns
165,NA,NA_Cy,asin,asiny2,2SgPoss,Dim,Poss,NONE,NONE,ObvPl,gidasiniinsima',gi<<asiny2>>iinsima',JDN-2010-Nouns,gidasiniinsiman,gi<<asiny2>>iinsiman,JDN-2010-Nouns
166,NA,NA_Cy,asin,asiny2,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gidasiniinsimiwaa',gi<<asiny2>>iinsimiwaa',JDN-2010-Nouns,gidasiniinsimiwaan,gi<<asiny2>>iinsimiwaan,JDN-2010-Nouns
167,NA,NA_Cy,asin,asiny2,3SgProxPoss,Dim,Poss,NONE,NONE,ObvPl,odasiniinsima',o<<asiny2>>iinsima',JDN-2010-Nouns,odasiniinsiman,o<<asiny2>>iinsiman,JDN-2010-Nouns
168,NA,NA_Cy,asin,asiny2,3PlProxPoss,Dim,Poss,NONE,NONE,ObvPl,odasiniinsimiwaa',o<<asiny2>>iinsimiwaa',JDN-2010-Nouns,odasiniinsimiwaan,o<<asiny2>>iinsimiwaan,JDN-2010-Nouns
169,NA,NA_Cy,asin,asiny2,3SgObvPoss,Dim,Poss,NONE,NONE,ObvPl,odasiniinsimini,o<<asiny2>>iinsiminiw1,JDN-2010-Nouns,odasiniinsimini,o<<asiny2>>iinsiminiw1,JDN-2010-Nouns
170,NA,NA_Cy,asin,asiny2,3PlObvPoss,Dim,Poss,NONE,NONE,ObvPl,odasiniinsimini,o<<asiny2>>iinsiminiw1,GUESS,odasiniinsimini,o<<asiny2>>iinsiminiw1,GUESS
199,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,nindasiniisha',ni<<asiny2>>iisha',JDN-2010-Nouns,nindasiniishan,ni<<asiny2>>iishan,JDN-2010-Nouns
200,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,NONE,Pej,NONE,ObvPl,nindasiniishinaani',ni<<asiny2>>iishinaani',JDN-2010-Nouns,nindasiniishinaanin,ni<<asiny2>>iishinaanin,JDN-2010-Nouns
201,NA,NA_Cy,asin,asiny2,InclPoss,NONE,NONE,Pej,NONE,ObvPl,gidasiniishinaani',gi<<asiny2>>iishinaani',JDN-2010-Nouns,gidasiniishinaanin,gi<<asiny2>>iishinaanin,JDN-2010-Nouns
202,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,NONE,Pej,NONE,ObvPl,gidasiniisha',gi<<asiny2>>iisha',JDN-2010-Nouns,gidasiniishan,gi<<asiny2>>iishan,JDN-2010-Nouns
203,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,gidasiniishiwaa',gi<<asiny2>>iishiwaa',JDN-2010-Nouns,gidasiniishiwaan,gi<<asiny2>>iishiwaan,JDN-2010-Nouns
204,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,NONE,Pej,NONE,ObvPl,odasiniisha',o<<asiny2>>iisha',JDN-2010-Nouns,odasiniishan,o<<asiny2>>iishan,JDN-2010-Nouns
205,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,NONE,Pej,NONE,ObvPl,odasiniishiwaa',o<<asiny2>>iishiwaa',JDN-2010-Nouns,odasiniishiwaan,o<<asiny2>>iishiwaan,JDN-2010-Nouns
206,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,NONE,Pej,NONE,ObvPl,odasiniishini,o<<asiny2>>iishiniw1,JDN-2010-Nouns,odasiniishini,o<<asiny2>>iishiniw1,JDN-2010-Nouns
207,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,NONE,Pej,NONE,ObvPl,odasiniishini,o<<asiny2>>iishiniw1,GUESS,odasiniishini,o<<asiny2>>iishiniw1,GUESS
236,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,nindasiniimisha',ni<<asiny2>>iimisha',JDN-2010-Nouns,nindasiniimishan,ni<<asiny2>>iimishan,JDN-2010-Nouns
237,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,Poss,Pej,NONE,ObvPl,nindasiniimishinaani',ni<<asiny2>>iimishinaani',JDN-2010-Nouns,nindasiniimishinaanin,ni<<asiny2>>iimishinaanin,JDN-2010-Nouns
238,NA,NA_Cy,asin,asiny2,InclPoss,NONE,Poss,Pej,NONE,ObvPl,gidasiniimishinaani',gi<<asiny2>>iimishinaani',JDN-2010-Nouns,gidasiniimishinaanin,gi<<asiny2>>iimishinaanin,JDN-2010-Nouns
239,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,Poss,Pej,NONE,ObvPl,gidasiniimisha',gi<<asiny2>>iimisha',JDN-2010-Nouns,gidasiniimishan,gi<<asiny2>>iimishan,JDN-2010-Nouns
240,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,Poss,Pej,NONE,ObvPl,gidasiniimishiwaa',gi<<asiny2>>iimishiwaa',JDN-2010-Nouns,gidasiniimishiwaan,gi<<asiny2>>iimishiwaan,JDN-2010-Nouns
241,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,Poss,Pej,NONE,ObvPl,odasiniimisha',o<<asiny2>>iimisha',JDN-2010-Nouns,odasiniimishan,o<<asiny2>>iimishan,JDN-2010-Nouns
