Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,NONE,NONE,NONE,ObvPl,ogiigoonyensini,o<<giigoonhy1>>ensiniw1,JDN-2010-Nouns,ogiigoonyensini,o<<giigoonhy1>>ensiniw1,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,Dim,NONE,NONE,NONE,ObvPl,ogiigoonyensini,o<<giigoonhy1>>ensiniw1,GUESS,ogiigoonyensini,o<<giigoonhy1>>ensiniw1,GUESS,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,ningiigoonyensima',ni<<giigoonhy1>>ensima',JDN-2010-Nouns,ningiigoonyensiman,ni<<giigoonhy1>>ensiman,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,Poss,NONE,NONE,ObvPl,ningiigoonyensiminaani',ni<<giigoonhy1>>ensiminaani',JDN-2010-Nouns,ningiigoonyensiminaanin,ni<<giigoonhy1>>ensiminaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,Poss,NONE,NONE,ObvPl,gigiigoonyensiminaani',gi<<giigoonhy1>>ensiminaani',JDN-2010-Nouns,gigiigoonyensiminaanin,gi<<giigoonhy1>>ensiminaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,Poss,NONE,NONE,ObvPl,gigiigoonyensima',gi<<giigoonhy1>>ensima',JDN-2010-Nouns,gigiigoonyensiman,gi<<giigoonhy1>>ensiman,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gigiigoonyensimiwaa',gi<<giigoonhy1>>ensimiwaa',JDN-2010-Nouns,gigiigoonyensimiwaan,gi<<giigoonhy1>>ensimiwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,Poss,NONE,NONE,ObvPl,ogiigoonyensima',o<<giigoonhy1>>ensima',JDN-2010-Nouns,ogiigoonyensiman,o<<giigoonhy1>>ensiman,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,Poss,NONE,NONE,ObvPl,ogiigoonyensimiwaa',o<<giigoonhy1>>ensimiwaa',JDN-2010-Nouns,ogiigoonyensimiwaan,o<<giigoonhy1>>ensimiwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,Poss,NONE,NONE,ObvPl,ogiigoonyensimini,o<<giigoonhy1>>ensiminiw1,JDN-2010-Nouns,ogiigoonyensimini,o<<giigoonhy1>>ensiminiw1,JDN-2010-Nouns,,,
