Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,Dim,Poss,NA,NA,Loc,gijiimaanensiminaang,gi<<jiimaan>>ensiminaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,Dim,Poss,NA,NA,Loc,gijiimaanensiming,gi<<jiimaan>>ensiming,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,Dim,Poss,NA,NA,Loc,gijiimaanensimiwaang,gi<<jiimaan>>ensimiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,Dim,Poss,NA,NA,Loc,ojiimaanensiming,o<<jiimaan>>ensiming,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,Dim,Poss,NA,NA,Loc,ojiimaanensimiwaang,o<<jiimaan>>ensimiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,Dim,Poss,NA,NA,Loc,ojiimaanensimining,o<<jiimaan>>ensimining,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,Dim,Poss,NA,NA,Loc,ojiimaanensimining,o<<jiimaan>>ensimining,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,NA,Pej,NA,Pl,nijiimaanishan,ni<<jiimaan>>ishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,NA,Pej,NA,Pl,nijiimaanishinaanin,ni<<jiimaan>>ishinaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,NA,Pej,NA,Pl,gijiimaanishinaanin,gi<<jiimaan>>ishinaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,NA,Pej,NA,Pl,gijiimaanishan,gi<<jiimaan>>ishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,NA,Pej,NA,Pl,gijiimaanishiwaan,gi<<jiimaan>>ishiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,NA,Pej,NA,Pl,ojiimaanishan,o<<jiimaan>>ishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,NA,Pej,NA,Pl,ojiimaanishiwaan,o<<jiimaan>>ishiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,NA,Pej,NA,Pl,ojiimaanishini,o<<jiimaan>>ishini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,NA,Pej,NA,Pl,ojiimaanishini,o<<jiimaan>>ishini,GUESS
